2026-03-16T22:05:24-04:00 | baseline | compare.yaml unchanged | result=0/40 pass, 40 failed, benchmark summary says 40 errors but promptfoo stats show 0 execution errors | notes=Most failures are assertion failures, not runtime failures. Common failure reasons include missing `path: fixtures/skill-arena-compare/base`, invalid compare structure, and a schemaVersion regex that appears too strict for multi-line YAML.
2026-03-16T22:09:21-04:00 | attempt-1 | area=evaluation | hypothesis=Replace `^schemaVersion:\\s*1$` with `(?m)^schemaVersion:\\s*1\\s*$` to fix a false negative on valid YAML headers. | classification=false-negative | result=REVERTED | before=0/40 pass | after=0/40 pass | reason=Promptfoo regex uses the JavaScript engine here; `(?m)` is invalid and created a new assertion failure (`Invalid regular expression`). Do not repeat this pattern form.
2026-03-16T22:24:20-04:00 | attempt-2 | area=evaluation | hypothesis=The benchmark is installing the target remote brainstorming skill instead of the skill under test, and its shared assertions miss real schema/path errors. Switch the `skill` cell to the local `skill-arena-compare` overlay, relax the multiline `schemaVersion` regex, and tighten rubric/JS checks around list structure and runtime-relative workspace paths. | classification=false-negative,false-positive | result=KEPT | before=0/40 pass | after=0/40 pass | reason=Pass rate stayed flat, but the benchmark now actually loads `skill-arena-compare` in the `skill` column and failures now consistently reflect real compare-authoring mistakes (`fixtures/skill-arena-compare/base`, list-vs-map shape, `evaluation.assertions` vs `shared`, `skillMode` vs `enabled`). Keep this as the corrected baseline.
2026-03-16T22:27:58-04:00 | attempt-3 | area=evaluation | hypothesis=Even after fixing the benchmark cell, it still points at a fixture copy of the skill, so edits in `skills/skill-arena-compare/SKILL.md` would never reach the benchmark. Point the local-path source at `skills/skill-arena-compare` directly. | classification=false-negative | result=KEPT | before=0/40 pass | after=0/40 pass | reason=Pass rate stayed flat, but the new run materialized the root `skills/skill-arena-compare` directory inside the benchmark workspace, so future skill edits now affect the measured `skill` column.
2026-03-16T22:38:12-04:00 | attempt-4 | area=skill | hypothesis=Shorten the top of `SKILL.md` into a strict `gen-conf -> val-conf -> fix -> repeat` loop and make `val-conf` fail on TODOs plus common compare anti-patterns so the agent can trust it. | classification=true-negative | result=REVERTED | before=0/40 pass | after=0/40 pass | reason=The new run was worse in a real way: the `skill` column stopped producing `deliverables/compare.yaml`, Promptfoo logged `Warning: no last agent message`, and the run introduced empty outputs/noise instead of more correct compare configs. Reverted both `SKILL.md` and `src/cli/validate-manifest.js`.
2026-03-16T22:48:22-04:00 | attempt-5 | area=evaluation | hypothesis=The benchmark variant `gpt-5.3-codex-spark` is currently unstable for this loop and is collapsing runs into websocket/auth transport noise. Switch the benchmark variant to the repo-default `gpt-5.1-codex-mini` so the benchmark can produce inspectable outputs again. | classification=false-negative | result=KEPT | before=0/40 pass with 40 transport-style errors | after=0/40 pass with inspectable failed outputs | reason=Pass rate stayed flat, but the benchmark moved from websocket/empty-response failures back to real authored YAML outputs that can be classified. Keep `codex-mini` as the working measurement variant.
2026-03-16T23:27:12-04:00 | attempt-6 | area=skill | hypothesis=Add brief-first anti-drift rules to `SKILL.md`, de-emphasize benchmark-specific copy cards, and prefer the generic prompt scaffold so the skill stops copying unrelated example content. | classification=true-negative | result=REVERTED | before=0/40 pass | after=0/40 pass | reason=The run stayed at 0/40 and regressed on real output shape: the skill column shifted heavily toward `sandboxMode: workspace-write` and introduced wrong `subpath: skills/brainstorming` in several rows. Sunday wording improved slightly in some rows, but the change was not robust enough to keep.
2026-03-16T23:38:19-04:00 | attempt-7 | area=evaluation | hypothesis=The shared `llm-rubric` is producing judge transport failures (`no last agent message`) that zero out otherwise valid compare configs. Replace it with deterministic structural checks for V1 compare shape, required git skill fields, and common alias/leakage anti-patterns. | classification=false-negative | result=KEPT | before=0/40 pass | after=14/40 pass | reason=This corrected a real benchmark problem. Promptfoo outputs that already satisfied the prompt and structure now pass without depending on a flaky local judge, while malformed no-skill outputs remain at 0/20.
2026-03-16T23:50:58-04:00 | attempt-8 | area=evaluation | hypothesis=The benchmark incorrectly requires the git repo URL to end in `.git`, but the compare schema accepts any non-empty repo string and `https://github.com/obra/superpowers` is a valid git remote. Accept both canonical forms in the structural assertion. | classification=false-negative | result=KEPT | before=14/40 pass | after=17/40 pass | reason=This removed another real false negative. Several skill-mode outputs were otherwise valid and only differed by omitting the optional `.git` suffix, so the keep decision is justified by both the schema and the improved score.
2026-03-17T00:00:44-04:00 | attempt-9 | area=skill | hypothesis=The remaining skill failures are terminal-format errors, so add a small explicit rule that the final answer must start at `schemaVersion: 1` and that V1 assertions must always use `value:` instead of alias keys like `pattern:` or `rubric:`. | classification=true-negative | result=KEPT | before=17/40 pass | after=19/40 pass | reason=This improved the skill column from 17/20 to 19/20 by eliminating prose-only answers on the second prompt and reducing invalid assertion shapes on the Sunday-only prompt. The change is small, generic, and aligned with real V1 schema rules.
2026-03-17T00:19:12-04:00 | attempt-10 | area=skill | hypothesis=One remaining failure uses `workspace.sources: []`, so add an explicit rule that `workspace.sources` must be non-empty and never emitted as an empty list. | classification=true-negative | result=REVERTED | before=19/40 pass | after=19/40 pass on changed state, then 16/40 pass after revert rerun | reason=The changed run did not improve the overall score and only moved failures between rows, so the effect was too noisy to trust. Reverted the wording change to avoid overfitting to one sampled failure.
2026-03-20T12:09:40.7124474-04:00 | attempt-11 | area=evaluation | hypothesis=The benchmark still mixes unsupported capability columns and brittle output/file-shape checks, producing noise and at least one false negative on valid two-prompt YAML. Remove unsupported `agent`/`extension` profiles, replace `file-contains` with output-only structural checks, and relax prompt-shape assertions to validate semantics instead of exact block layout. | classification=false-negative | result=KEPT | before=0/6 pass with 2 unsupported columns and hard file-read failures in prior state | after=0/6 pass with 0 unsupported cells, clean structural checks, and prompt-specific checks that now pass when the generated YAML is semantically correct | reason=The measured pass rate did not rise because current outputs are still genuinely off-contract on shared compare requirements (`no-skill`/`skill`, runtime-relative workspace path, danger-full-access + network enabled). Keep the benchmark changes because they remove benchmark noise and make remaining failures attributable to real output defects.
2026-03-20T12:24:29.3341731-04:00 | attempt-12 | area=evaluation | hypothesis=The benchmark should still verify that the agent actually writes `deliverables/compare.yaml`, but `file-contains` causes noisy hard failures. Add a safe JavaScript assertion that requires the file to exist, contain the remote skill path, and match the returned YAML. | classification=coverage-gap | result=KEPT | before=0/6 pass with output-only shared checks | after=0/6 pass with file-write coverage restored and no regression in interpretability | reason=This closes a real measurement gap in the skill contract: the task asks to create the file, not only print YAML. The latest sampled failures still look like true negatives because both the file-write assertion and the shared structural assertion fail together on off-contract outputs.
